Numar,Intrebare,Raspuns 1,Raspuns 2,Raspuns 3,Raspuns 4,Domeniu
57,Cine a fost conducătorul macedonean cunoscut pentru cucerirea unui vast imperiu din Europa până în Asia?,Alexandru cel Mare,Iulius Cezar,Darius al III-lea,Pericle,Istorie
58,Cine conduce trupa seniorilor pentru steaua de la rasarit? ,Emilian,Sora Stela,Sora Mariana,Fratele Willy,Cultura Speranta
59,La ce instrument canta Emil Petrean la filarmonică? ,Fagot,Pian,Trompetă,Picollo,Cultura Speranta
60,Care e apelativul preferat al lui Emilian?,Sherlock,Pinguinu,Bobiță,Emilio,Cultura Speranta
61,Ce au in comun cei 3 sunetisti din speranta? ,Conduc BMW,Au câte un copil,Le place Cola,Sunt chei,Cultura Speranta
62,Ce reprezintă structura de metal din Tavanul sălii mari a bisericii?,Coloana vertebrală a bisericii,suport pentru becuri,Un șarpe,Valurile îndurării,Cultura Speranta
63,Care dintre urmatorii nu este fiu al preotului Aaron?,Nadab,Fineas,Abihu,Eleazar,Religie
64,Care este lungimea fluviului Nil?,5400,6200,6650,7200,Geografie
65,Câți ani a domnit regele Solomon peste Israel?,33,35,40,42,Religie
66,Cum se numea tatăl lui Avraam?,Haran,Laban,Nahor,Terah,Religie
67,Câte cărți profetice mici sunt în Vechiul Testament?,12,14,10,11,Religie
68,În ce oraș s-a născut apostolul Pavel?,Ierusalim,Tars,Damasc,Antiohia,Religie
69,Pe ce drum a avut loc convertirea lui Pavel?,Ierihon,Cezareea,Damasc,Antiohia,Religie
70,Cine l-a botezat pe Pavel după convertire?,Barnaba,Filip,Petru,Anania,Religie
71,Ce judecător al lui Israel a avut puterea în părul său?,Ghedeon,Samson,Iefta,Samuel,Religie
72,Cum se numea tatal lui Samuel?,Elcana,Eli,Saul,Iese,Religie
73,"În ce oraș a fost Pavel ținut în arest la domiciliu, scriind mai multe epistole?",Roma,Cezareea,Efes,Corint,Religie
74,Câte călătorii misionare mari a făcut apostolul Pavel?,2,3,4,5,Religie
75,Ce popor l-a dus pe Daniel în robie?,Asirienii,Egiptenii,Babilonienii,Persii,Religie
76,Ce rege al lui Israel a fost cunoscut pentru lepra sa?,Ahab,Ieroboam,Saul,Ozia,Religie
77,"În ce an a început Reforma protestantă, odată cu tezele lui Martin Luther?",1509,1517,1525,1534,Istorie
78,Ce eveniment marchează începutul Revoluției Franceze?,Execuția lui Ludovic al XVI-lea,Proclamarea Republicii,Cucerirea Bastiliei (1789),Constituția din 1791,Istorie
79,"Ce alianță militară s-a format în 1949, în contextul Războiului Rece?",Pactul de la Varșovia,NATO,ONU,Liga Națiunilor,Istorie
80,Ce instrument se folosește pentru măsurarea masei unui corp?,Cântarul,Ampermetrul,Termometrul,Dinamometrul,Fizică
81,Care este unitatea de măsură pentru viteza unui corp?,m,m/s,km,cm,Fizică
82,Care este unitatea de măsură pentru forță?,Joule,Watt,Newton,Pascal,Fizică
83,Ce mărime fizică exprimă raportul dintre distanță și timp?,Accelerația,Forța,Lucrul mecanic,Viteza,Fizică
84,Ce element chimic are simbolul Na?,Neon ,Sodiu,Nichel,Azot,Chimie
85,Ce se întâmplă cu volumul unui gaz când temperatura crește (la presiune constantă)?,Scade,Rămâne constant,Devine 0,Crește,Fizică
86,Cum se numește fenomenul prin care un corp își menține starea de repaus sau de mișcare rectilinie uniformă?,Gravitație,Elasticitate,Inerție,Frecare,Fizică
87,Care dintre următoarele este un metal?,Oxigen,Fier,Carbon,Sulf,Chimie
88,Ce tip de piele produce exces de sebum?,Uscată,Normală,Grasă,Sensibilă,Cosmetică
89,Ce gaz este eliminat la respirație?,Dioxid de Carbon,Oxigen,Hidrogen,Azot,Chimie
90,Ce produs se folosește pentru îndepărtarea machiajului?,Toner,Creă nutritivă,Demachiant,Exfoliant,Cosmetică
91,Ce tip de produs se folosește pentru îndepărtarea celulelor moarte?,Exfoliant,Cremă hidratantă,Mască nutritivă,Ser,Cosmetică
92,Ce ingredient este cunoscut pentru efectul hidratant?,Alcool,Parfum,Glicerina,Sulfați,Cosmetică
93,Ce factor indică gradul de protecție solară al unui produs?,pH,UVA,SPF,Vitamina c,Cosmetică
94,În ce an a fost lansat jocul Minecraft?,2007,2009,2011,2013,Gaming
95,Pe ce consolă a fost lansat inițial jocul Super Mario Bros.?,SNES,GameCube,NES,Nintendo 64,Gaming
96,Care este moneda principală în jocul World of Warcraft?,Cristale,Mana,Gold,Rune,Gaming
97,Care dintre următoarele jocuri este considerat unul dintre cele mai populare jocuri mobile din 2025?,Roblox,Amng Us,Skyrim Mobile,Mario Kart Tour 2,Gaming
98,Ce shooter battle royale rămâne popular pe telefon în 2025?,Apex Legends Mobile,PUBG Mobile,Fortnite Mobile,Call of Duty: Battle Zone,Gaming
99,Unde s-a desfășurat Campionatul Mondial de hochei pe gheață 2025?,Helsinki,Stockholm,Zurich,Oslo,Sport
100,Care echipă a câștigat finala UEFA Champions League în 2025?,Paris Saint-Germain,Bayern München,Real Madrid,Liverpool,Sport
